,Company_Brand,Founded,HeadQuarter,What_it_does,Investor,Amount,Stage,Year,Num_of_Investors,Num_of_Founders,Sector,Currency,new_amount
1847,The ePlane,2016.0,Chennai,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Speciale Invest, Farid Ahsan","$1,000,000",Seed,2021,2,2,Technology,Dollars,1000000.0
1848,Cashify,2009.0,Gurugram,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments","$15,000,000",Series D,2021,2,3,E-Commerce,Dollars,15000000.0
1849,Bijnis,2014.0,Delhi,Digitizing the Factories of the Unorganised Industries.,"Sequoia Capital India, Matrix Partners India",Undisclosed,Pre-Seed,2021,2,4,E-Commerce,Not Specified,28488165.70327553
1850,Questt,2020.0,Gurugram,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Chiratae Ventures, AET Fund","$1,000,000",Seed,2021,2,3,Education,Dollars,1000000.0
1851,DealShare,2018.0,Jaipur,DealShare is a Social Commerce Startup,"Omidyar Network, Falcon Edge Capital","$3,000,000",Series C,2021,2,3,E-Commerce,Dollars,3000000.0
1852,Euler Motors,2018.0,Delhi,Electric Light Commercial Vehicle,"Jetty Ventures, Srinivas Anumolu","$4,000,000",Series A,2021,2,1,Automotive,Dollars,4000000.0
1853,Blume Ventures,2011.0,Mumbai,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,Avendus,"$40,000,000",Venture - Series Unknown,2021,1,2,FinTech,Dollars,40000000.0
1854,KoineArth,2018.0,Bangalore,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",YourNest,"$1,800,000",Series B,2021,1,1,Technology,Dollars,1800000.0
1855,ImaginXP,2013.0,Pune,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,Venture Catalysts,"$1,500,000",Series E,2021,1,1,Education,Dollars,1500000.0
1856,Virohan,2018.0,Gurugram,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,"National Skill Development Corporation, Rianta Capital",Undisclosed,Series A,2021,2,3,Education,Not Specified,28488165.70327553
1857,Apna.co,2019.0,Bangalore,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,"Sequoia Capital India, Rocketship.vc","$12,500,000",Series C,2021,2,1,Other,Dollars,12500000.0
1858,ideaForge,2007.0,Mumbai,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,"Infosys, Qualcomm Ventures","$2,000,000",Venture - Series Unknown,2021,2,2,Technology,Dollars,2000000.0
1859,Clairco,2018.0,Bangalore,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,"Real Estate Accelerator Program (REAP), AngelList","$500,000",Series B,2021,2,1,Technology,Dollars,500000.0
1860,Northern Arc,2008.0,Chennai,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"Asian Development Bank, U.S. International Development Finance Corp","$50,000,000",Pre-Seed,2021,2,1,FinTech,Dollars,50000000.0
1861,Lenskart,2010.0,Haryana,Lenskart is an India-based online shopping portal for eyewear.,"Kohlberg Kravis Roberts, Temasek Holdings","$95,000,000",Venture - Series Unknown,2021,2,2,Lifestyle,Dollars,95000000.0
1862,ParkSmart,2018.0,Delhi,ParkSmart is a parking management application.,"Shireen Rangaswamy, Dilesh Gathani",Undisclosed,Seed,2021,2,5,Automotive,Not Specified,28488165.70327553
1863,Virohan,2018.0,Gurugram,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Rebright Partners, Wadhwani Foundation","$3,000,000",Series A,2021,2,4,Education,Dollars,3000000.0
1864,BankSathi,2019.0,Delhi,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.","Dinesh Godara, Aditya Talwar","$200,000",Seed,2021,2,1,FinTech,Dollars,200000.0
1865,Spark Studio,2020.0,Bangalore,Online courses to build creativity and confidence in children through extra-curricular learning,Better Capital,Undisclosed,Seed,2021,1,1,Education,Not Specified,28488165.70327553
1866,BlissClub,2020.0,Bangalore,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Elevation Capital,"$2,000,000",Seed,2021,1,1,Lifestyle,Dollars,2000000.0
1867,BricSpaces,2018.0,Bangalore,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Angel investors,"$350,000",Series D,2021,1,1,Other,Dollars,350000.0
